ID_OREGANO	LIBELLE
PROTEIN:81	Fibroblast growth factor receptor 1
PROTEIN:82	Basement membrane-specific heparan sulfate proteoglycan core protein
PROTEIN:83	Glucagon receptor
PROTEIN:84	Glucagon-like peptide 2 receptor
PROTEIN:85	Glucagon-like peptide 1 receptor
PROTEIN:86	Vesicle-associated membrane protein 2
PROTEIN:87	Vesicle-associated membrane protein 1
PROTEIN:88	Synaptotagmin-2
PROTEIN:89	High affinity immunoglobulin epsilon receptor subunit alpha
PROTEIN:90	High affinity immunoglobulin epsilon receptor subunit beta
PROTEIN:91	Toll-like receptor 2
PROTEIN:92	Collagen alpha-1(I) chain
PROTEIN:93	Collagen alpha-1(II) chain
PROTEIN:94	Collagen alpha-1(III) chain
MOLECULE:95	Uric acid
PROTEIN:96	Growth hormone receptor
PROTEIN:97	Prolactin receptor
MOLECULE:98	Glucocerebroside
PROTEIN:99	Integrin beta-3
PROTEIN:100	Integrin alpha-IIb
PROTEIN:101	Vitronectin
PROTEIN:102	Coagulation factor VIII
PROTEIN:103	Coagulation factor V
PROTEIN:104	Thrombomodulin
PROTEIN:105	Vitamin K-dependent protein S
PROTEIN:106	Platelet factor 4
PROTEIN:107	Serpin B6
PROTEIN:108	Endothelial protein C receptor
PROTEIN:109	Myeloid cell surface antigen CD33
MOLECULE:110	Tumor-associated glycoprotein 72 (TAG-72)
PROTEIN:111	Neutrophil elastase
MOLECULE:112	Adenosine
PROTEIN:113	Growth factor receptor-bound protein 2
MOLECULE:114	Nitric oxide
PROTEIN:115	Voltage-dependent N-type calcium channel
PROTEIN:116	Oxytocin receptor
MOLECULE:117	Hyaluronan
PROTEIN:118	Transforming growth factor beta-1
PROTEIN:119	Receptor tyrosine-protein kinase erbB-2
PROTEIN:120	B-lymphocyte antigen CD20
PROTEIN:121	T-cell surface glycoprotein CD3 delta chain
PROTEIN:122	T-cell surface glycoprotein CD3 epsilon chain
PROTEIN:123	T-cell surface glycoprotein CD3 gamma chain
PROTEIN:124	T-cell surface glycoprotein CD3 zeta chain
MOLECULE:125	Digoxin
MOLECULE:126	Cytoplasmic membrane
PROTEIN:127	Synaptosomal-associated protein 25
PROTEIN:128	Rho-related GTP-binding protein RhoB
MOLECULE:129	Dietary fat
MOLECULE:130	Dietary protein
MOLECULE:131	Dietary starch
PROTEIN:132	Proteinase-activated receptor 1
PROTEIN:133	CAMPATH-1 antigen
PROTEIN:134	Glutamate carboxypeptidase 2
MOLECULE:135	Iduronic acid
PROTEIN:136	Calcium signal-modulating cyclophilin ligand
PROTEIN:137	Calcineurin subunit B type 2
PROTEIN:138	Peptidyl-prolyl cis-trans isomerase A
PROTEIN:139	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
PROTEIN:140	T-cell surface antigen CD2
PROTEIN:141	Integrin alpha-X
PROTEIN:142	Integrin alpha-L
PROTEIN:143	Major histocompatibility complex class I-related gene protein
PROTEIN:144	T-lymphocyte activation antigen CD86
PROTEIN:145	T-cell surface glycoprotein CD4
PROTEIN:146	Integrin beta-1
PROTEIN:147	Integrin alpha-V
PROTEIN:148	T-cell surface glycoprotein CD1a
PROTEIN:149	Coagulation factor XI
PROTEIN:150	Platelet-derived growth factor receptor beta
PROTEIN:151	Platelet-derived growth factor receptor alpha
PROTEIN:152	Alpha-2-macroglobulin
MOLECULE:153	Globotriaosylceramide
MOLECULE:154	Somatostatin receptor
PROTEIN:155	Integrin alpha-4
PROTEIN:156	Intercellular adhesion molecule 1
PROTEIN:157	Envelope glycoprotein
PROTEIN:158	Fusion glycoprotein F0
PROTEIN:159	Complement C1r subcomponent
PROTEIN:160	Vascular endothelial growth factor A
PROTEIN:161	Carcinoembryonic antigen-related cell adhesion molecule 1
PROTEIN:162	Alanine--glyoxylate aminotransferase 2, mitochondrial
PROTEIN:163	Glutamate decarboxylase 1
PROTEIN:164	Cystathionine beta-synthase
PROTEIN:165	Kynureninase
PROTEIN:166	Serine hydroxymethyltransferase, cytosolic
PROTEIN:167	Cysteine desulfurase, mitochondrial
PROTEIN:168	Aspartate aminotransferase, cytoplasmic
PROTEIN:169	Ornithine aminotransferase, mitochondrial
PROTEIN:170	Ornithine decarboxylase
PROTEIN:171	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
PROTEIN:172	4-aminobutyrate aminotransferase, mitochondrial
PROTEIN:173	Pyridoxine-5'-phosphate oxidase
PROTEIN:174	Sphingosine-1-phosphate lyase 1
PROTEIN:175	Tyrosine aminotransferase
PROTEIN:176	Kynurenine--oxoglutarate transaminase 1
MOLECULE:177	Glycogen phosphorylase, liver form
PROTEIN:178	Serine palmitoyltransferase 2
PROTEIN:179	Cysteine sulfinic acid decarboxylase
PROTEIN:180	Histidine decarboxylase
PROTEIN:181	Arginine decarboxylase
PROTEIN:182	L-serine dehydratase/L-threonine deaminase
PROTEIN:183	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial
PROTEIN:184	Glycine dehydrogenase [decarboxylating], mitochondrial
PROTEIN:185	Alanine aminotransferase 1
PROTEIN:186	Phosphoserine aminotransferase
PROTEIN:187	5-aminolevulinate synthase, nonspecific, mitochondrial
PROTEIN:188	Serine--pyruvate aminotransferase
PROTEIN:189	Pyridoxal phosphate phosphatase
PROTEIN:190	Serine palmitoyltransferase 1
PROTEIN:191	Cystathionine gamma-lyase
PROTEIN:192	Branched-chain-amino-acid aminotransferase, cytosolic
PROTEIN:193	Branched-chain-amino-acid aminotransferase, mitochondrial
PROTEIN:194	Proline synthase co-transcribed bacterial homolog protein
PROTEIN:195	Aspartate aminotransferase, mitochondrial
PROTEIN:196	Glycogen phosphorylase, brain form
PROTEIN:197	Glycogen phosphorylase, muscle form
PROTEIN:198	Aromatic-L-amino-acid decarboxylase
PROTEIN:199	Aspartate aminotransferase
PROTEIN:200	Serine hydroxymethyltransferase
PROTEIN:201	Selenocysteine lyase variant
PROTEIN:202	Phosphorylase
PROTEIN:203	5-aminolevulinate synthase
PROTEIN:204	Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)
PROTEIN:205	DDC protein
PROTEIN:206	Kynurenine--oxoglutarate transaminase 3
PROTEIN:207	Glutamate decarboxylase-like protein 1
PROTEIN:208	Selenocysteine lyase
PROTEIN:209	Immunoglobulin superfamily member 10
PROTEIN:210	5-phosphohydroxy-L-lysine phospho-lyase
PROTEIN:211	Glutamate decarboxylase 1 (Brain, 67kDa)
PROTEIN:212	Serine hydroxymethyltransferase, mitochondrial
PROTEIN:213	5-aminolevulinate synthase, erythroid-specific, mitochondrial
PROTEIN:214	Alanine aminotransferase 2
PROTEIN:215	Molybdenum cofactor sulfurase
PROTEIN:216	Serine dehydratase-like
PROTEIN:217	Hepatic peroxysomal alanine:glyoxylate aminotransferase
PROTEIN:218	Serine racemase
PROTEIN:219	O-phosphoseryl-tRNA(Sec) selenium transferase
PROTEIN:220	Serine palmitoyltransferase 3
PROTEIN:221	Glutamic acid decarboxylase
PROTEIN:222	Alanine-glyoxylate aminotransferase homolog
PROTEIN:223	Methionine synthase
PROTEIN:224	Methylmalonyl-CoA mutase, mitochondrial
PROTEIN:225	Methionine synthase reductase
PROTEIN:226	Methylmalonic aciduria type A protein, mitochondrial
PROTEIN:227	Methylmalonic aciduria and homocystinuria type C protein
PROTEIN:228	Methylenetetrahydrofolate reductase
PROTEIN:229	C-1-tetrahydrofolate synthase, cytoplasmic
PROTEIN:230	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
PROTEIN:231	Aminomethyltransferase, mitochondrial
PROTEIN:232	Cytosolic 10-formyltetrahydrofolate dehydrogenase
PROTEIN:233	Formimidoyltransferase-cyclodeaminase
PROTEIN:234	Bifunctional purine biosynthesis protein PURH
PROTEIN:235	Methionyl-tRNA formyltransferase, mitochondrial
PROTEIN:236	Histidine--tRNA ligase, cytoplasmic
PROTEIN:237	Sodium-coupled neutral amino acid transporter 3
PROTEIN:238	Histidine ammonia-lyase
PROTEIN:239	Catechol O-methyltransferase
PROTEIN:240	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1
PROTEIN:241	Arsenite methyltransferase
PROTEIN:242	Glycine N-methyltransferase
PROTEIN:243	S-adenosylmethionine decarboxylase proenzyme
PROTEIN:244	S-adenosylmethionine synthase isoform type-2
PROTEIN:245	S-adenosylmethionine synthase isoform type-1
PROTEIN:246	Monocarboxylate transporter 4
PROTEIN:247	Monocarboxylate transporter 8
PROTEIN:248	Monocarboxylate transporter 6
PROTEIN:249	Pyruvate kinase PKLR
PROTEIN:250	Monocarboxylate transporter 7
PROTEIN:251	Monocarboxylate transporter 2
PROTEIN:252	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
PROTEIN:253	Pyruvate kinase PKM
PROTEIN:254	Monocarboxylate transporter 5
PROTEIN:255	Monocarboxylate transporter 3
PROTEIN:256	Monocarboxylate transporter 1
PROTEIN:257	Pyruvate carboxylase, mitochondrial
PROTEIN:258	Large neutral amino acids transporter small subunit 2
PROTEIN:259	Phenylalanine--tRNA ligase alpha subunit
PROTEIN:260	Phenylalanine-4-hydroxylase
PROTEIN:261	Phenylalanine--tRNA ligase, mitochondrial
PROTEIN:262	Phenylalanine--tRNA ligase beta subunit
PROTEIN:263	Tyrosine 3-monooxygenase
PROTEIN:264	Propionyl-CoA carboxylase beta chain, mitochondrial
PROTEIN:265	Biotin--protein ligase
PROTEIN:266	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
PROTEIN:267	Acetyl-CoA carboxylase 2
PROTEIN:268	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial
PROTEIN:269	Propionyl-CoA carboxylase alpha chain, mitochondrial
PROTEIN:270	Acetyl-CoA carboxylase 1
PROTEIN:271	Neuronal acetylcholine receptor subunit alpha-7
PROTEIN:272	Choline-phosphate cytidylyltransferase B
PROTEIN:273	Acetylcholinesterase
PROTEIN:274	Choline-phosphate cytidylyltransferase A
PROTEIN:275	Phospholipase D2
PROTEIN:276	Cholinesterase
PROTEIN:277	Phospholipase D1
PROTEIN:278	Phosphoethanolamine/phosphocholine phosphatase
PROTEIN:279	High affinity cationic amino acid transporter 1
PROTEIN:280	Cationic amino acid transporter 4
PROTEIN:281	Cationic amino acid transporter 3
PROTEIN:282	Low affinity cationic amino acid transporter 2
PROTEIN:283	Lysine--tRNA ligase
PROTEIN:284	Argininosuccinate lyase
PROTEIN:285	Nitric oxide synthase, inducible
PROTEIN:286	Arginase-2, mitochondrial
PROTEIN:287	Argininosuccinate synthase
PROTEIN:288	Nitric oxide synthase, endothelial
PROTEIN:289	Hyaluronate lyase
PROTEIN:290	Xylose isomerase
PROTEIN:291	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
PROTEIN:292	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
PROTEIN:293	Gamma-butyrobetaine dioxygenase
PROTEIN:294	Dopamine beta-hydroxylase
PROTEIN:295	Peptidyl-glycine alpha-amidating monooxygenase
PROTEIN:296	Prolyl 3-hydroxylase 1
PROTEIN:297	Prolyl 3-hydroxylase 2
PROTEIN:298	Prolyl 3-hydroxylase 3
PROTEIN:299	Prolyl 4-hydroxylase subunit alpha-1
PROTEIN:300	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
PROTEIN:301	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
PROTEIN:302	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
PROTEIN:303	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
PROTEIN:304	Lysine-specific demethylase 5D
PROTEIN:305	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
PROTEIN:306	Trimethyllysine dioxygenase, mitochondrial
PROTEIN:307	Transmembrane prolyl 4-hydroxylase
PROTEIN:308	Egl nine homolog 1
PROTEIN:309	Egl nine homolog 2
PROTEIN:310	Egl nine homolog 3
PROTEIN:311	Spermine synthase
PROTEIN:312	Spermine oxidase
PROTEIN:313	Extracellular calcium-sensing receptor
PROTEIN:314	Beta-1 adrenergic receptor
PROTEIN:315	Beta-2 adrenergic receptor
PROTEIN:316	Adenylosuccinate Synthetases
PROTEIN:317	Calcium-binding mitochondrial carrier protein Aralar2
PROTEIN:318	Aspartoacylase
PROTEIN:319	Asparagine synthetase [glutamine-hydrolyzing]
PROTEIN:320	Aminoacylase-1
PROTEIN:321	Aspartate--tRNA ligase, cytoplasmic
PROTEIN:322	Calcium-binding mitochondrial carrier protein Aralar1
PROTEIN:323	Aspartyl/asparaginyl beta-hydroxylase
PROTEIN:324	Multifunctional protein ADE2
PROTEIN:325	Adenylosuccinate synthetase isozyme 2
PROTEIN:326	Excitatory amino acid transporter 3
PROTEIN:327	Argininosuccinate synthetase, isoform CRA_a
PROTEIN:328	Aspartate--tRNA ligase, mitochondrial
PROTEIN:329	Isoaspartyl peptidase/L-asparaginase
PROTEIN:330	Ribonuclease pancreatic
PROTEIN:331	Lysozyme C
PROTEIN:332	Ornithine carbamoyltransferase, mitochondrial
PROTEIN:333	Arginase-1
PROTEIN:334	Ornithine decarboxylase antizyme 1
PROTEIN:335	Mitochondrial ornithine transporter 2
PROTEIN:336	Mitochondrial ornithine transporter 1
PROTEIN:337	Glycine amidinotransferase, mitochondrial
PROTEIN:338	CTP synthase 1
PROTEIN:339	Amidophosphoribosyltransferase
PROTEIN:340	Glutamine synthetase
PROTEIN:341	5'-AMP-activated protein kinase
PROTEIN:342	Adenosine kinase
PROTEIN:343	5'-AMP-activated protein kinase subunit beta-1
PROTEIN:344	Acetyl-coenzyme A synthetase, cytoplasmic
PROTEIN:345	5'-AMP-activated protein kinase catalytic subunit alpha-1
PROTEIN:346	Adenylate cyclase type 1
PROTEIN:347	Long-chain-fatty-acid--CoA ligase 1
PROTEIN:348	Cyclic AMP-responsive element-binding protein 1
PROTEIN:349	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
PROTEIN:350	Histidine triad nucleotide-binding protein 1
PROTEIN:351	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
PROTEIN:352	Fructose-1,6-bisphosphatase 1
PROTEIN:353	Fatty acid desaturase 1
PROTEIN:354	Fatty acid desaturase 2
PROTEIN:355	Transient receptor potential cation channel subfamily V member 1
PROTEIN:356	Peroxisome proliferator-activated receptor alpha
PROTEIN:357	Bile acid receptor
PROTEIN:358	Peroxisome proliferator-activated receptor delta
PROTEIN:359	Peroxisome proliferator-activated receptor gamma
PROTEIN:360	Retinoic acid receptor RXR-alpha
PROTEIN:361	Elongation of very long chain fatty acids protein 2
PROTEIN:362	Elongation of very long chain fatty acids protein 5
PROTEIN:363	Sodium/calcium exchanger 1
PROTEIN:364	Serine--tRNA ligase, cytoplasmic
PROTEIN:365	Methionine aminopeptidase 2
PROTEIN:366	Betaine--homocysteine S-methyltransferase 1
PROTEIN:367	S-methylmethionine--homocysteine S-methyltransferase BHMT2
PROTEIN:368	Tyrosine--tRNA ligase, mitochondrial
PROTEIN:369	Tyrosine--tRNA ligase, cytoplasmic
PROTEIN:370	Vitamin D3 receptor
PROTEIN:371	Homeobox protein Hox-A10
PROTEIN:372	Cystine/glutamate transporter
PROTEIN:373	Cystinosin
PROTEIN:374	Succinate-semialdehyde dehydrogenase, mitochondrial
PROTEIN:375	Succinate receptor 1
PROTEIN:376	Riboflavin kinase
PROTEIN:377	Riboflavin synthase
PROTEIN:378	Flavin reductase (NADPH)
PROTEIN:379	Beta-1,4-galactosyltransferase 1
PROTEIN:380	Beta-1,4-galactosyltransferase 4
PROTEIN:381	N-acetyl-D-glucosamine kinase
PROTEIN:382	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
PROTEIN:383	Alpha-N-acetylglucosaminidase
PROTEIN:384	N-acylglucosamine 2-epimerase
PROTEIN:385	Metabotropic glutamate receptor 1
PROTEIN:386	Metabotropic glutamate receptor 4
PROTEIN:387	Glutamate receptor ionotropic, kainate 4
PROTEIN:388	Glutamate receptor ionotropic, kainate 5
PROTEIN:389	Metabotropic glutamate receptor 7
PROTEIN:390	Metabotropic glutamate receptor 8
PROTEIN:391	Excitatory amino acid transporter 5
PROTEIN:392	5-oxoprolinase
PROTEIN:393	Phosphoribosylformylglycinamidine synthase
PROTEIN:394	Glutamate receptor ionotropic, NMDA 2D
PROTEIN:395	Glutaminase kidney isoform, mitochondrial
PROTEIN:396	Bifunctional glutamate/proline--tRNA ligase
PROTEIN:397	Excitatory amino acid transporter 1
PROTEIN:398	Excitatory amino acid transporter 2
PROTEIN:399	Glutamate--cysteine ligase catalytic subunit
PROTEIN:400	Excitatory amino acid transporter 4
PROTEIN:401	Glutamate dehydrogenase 2, mitochondrial
PROTEIN:402	GMP synthase [glutamine-hydrolyzing]
PROTEIN:403	Glutamate receptor ionotropic, NMDA 1
PROTEIN:404	Folylpolyglutamate synthase, mitochondrial
PROTEIN:405	Glutamyl aminopeptidase
PROTEIN:406	Glutamate receptor ionotropic, NMDA 2A
PROTEIN:407	Glutamate receptor ionotropic, NMDA 2B
PROTEIN:408	Glutamate receptor ionotropic, NMDA 2C
PROTEIN:409	Probable glutamate--tRNA ligase, mitochondrial
PROTEIN:410	Glutamine-dependent NAD(+) synthetase
PROTEIN:411	N-acetylglutamate synthase, mitochondrial
PROTEIN:412	Glutamate receptor ionotropic, NMDA 3A
PROTEIN:413	Alpha-aminoadipic semialdehyde synthase, mitochondrial
PROTEIN:414	Glutaminase liver isoform, mitochondrial
PROTEIN:415	Aspartyl aminopeptidase
PROTEIN:416	Carboxypeptidase Q
PROTEIN:417	Glutamate dehydrogenase 1, mitochondrial
PROTEIN:418	Glutamate receptor ionotropic, kainate 1
PROTEIN:419	Glutamate receptor 1
PROTEIN:420	Glutamate--cysteine ligase regulatory subunit
PROTEIN:421	Glutamate decarboxylase 2
PROTEIN:422	Glutamate receptor 2
PROTEIN:423	Glutamate receptor 3
PROTEIN:424	Glutamate receptor 4
PROTEIN:425	Delta-1-pyrroline-5-carboxylate synthase
PROTEIN:426	Glutamate receptor ionotropic, kainate 2
PROTEIN:427	Glutamate receptor ionotropic, kainate 3
PROTEIN:428	Aldose reductase
PROTEIN:429	Matrix metalloproteinase-9
PROTEIN:430	Cytochrome P450 3A4
PROTEIN:431	Glutathione peroxidase
PROTEIN:432	Glutathione reductase, mitochondrial
PROTEIN:433	Glutathione synthetase
PROTEIN:434	Glutathione S-transferase Mu 1
PROTEIN:435	Glutathione S-transferase kappa 1
PROTEIN:436	Glutathione S-transferase A3
PROTEIN:437	Glutathione S-transferase Mu 3
PROTEIN:438	Glutathione S-transferase A4
PROTEIN:439	Glutathione S-transferase Mu 4
PROTEIN:440	Glutathione S-transferase A5
PROTEIN:441	Glutathione S-transferase P
PROTEIN:442	Glutathione S-transferase omega-1
PROTEIN:443	Glutathione peroxidase 1
PROTEIN:444	Glutathione peroxidase 2
PROTEIN:445	Glutathione S-transferase theta-1
PROTEIN:446	Maleylacetoacetate isomerase
PROTEIN:447	Epididymal secretory glutathione peroxidase
PROTEIN:448	Glutathione peroxidase 3
PROTEIN:449	Lactoylglutathione lyase
PROTEIN:450	Leukotriene C4 synthase
PROTEIN:451	Microsomal glutathione S-transferase 3
PROTEIN:452	Hematopoietic prostaglandin D synthase
PROTEIN:453	Glutathione S-transferase A1
PROTEIN:454	Glutathione S-transferase A2
PROTEIN:455	Microsomal glutathione S-transferase 1
PROTEIN:456	S-formylglutathione hydrolase
PROTEIN:457	Gamma-glutamyltranspeptidase 1
PROTEIN:458	Glutathione S-transferase Mu 2
PROTEIN:459	Glutaredoxin-1
PROTEIN:460	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial
PROTEIN:461	Glutathione S-transferase Mu 5
PROTEIN:462	Glutathione peroxidase 6
PROTEIN:463	Hydroxyacylglutathione hydrolase, mitochondrial
PROTEIN:464	Glutathione peroxidase
PROTEIN:465	Glutathione peroxidase 7
PROTEIN:466	Microsomal glutathione S-transferase 2
PROTEIN:467	Glutathione S-transferase omega-2
PROTEIN:468	Glutaredoxin-2, mitochondrial
PROTEIN:469	Phosphatidylserine decarboxylase proenzyme
PROTEIN:470	Scavenger receptor class B member 1
PROTEIN:471	Protein kinase C alpha type
PROTEIN:472	Phosphatidylserine synthase 1
PROTEIN:473	Diacylglycerol kinase gamma
PROTEIN:474	Diacylglycerol kinase delta
PROTEIN:475	Phosphatidylserine synthase 2
PROTEIN:476	Sphingomyelin phosphodiesterase 4
PROTEIN:477	Sphingomyelin phosphodiesterase 3
PROTEIN:478	Probable phospholipid-transporting ATPase IA
PROTEIN:479	Glycine--tRNA ligase
PROTEIN:480	Bile acid-CoA:amino acid N-acyltransferase
PROTEIN:481	N-arachidonyl glycine receptor
PROTEIN:482	Glycine N-acyltransferase
PROTEIN:483	Glycine N-acyltransferase-like protein 2
PROTEIN:484	Glycine N-acyltransferase-like protein 1
PROTEIN:485	Peroxisomal sarcosine oxidase
PROTEIN:486	Glutamate receptor ionotropic, NMDA 3B
PROTEIN:487	Glycine receptor subunit alpha-1
PROTEIN:488	Glycine receptor subunit beta
PROTEIN:489	Glycine receptor subunit alpha-3
PROTEIN:490	Glycine receptor subunit alpha-2
PROTEIN:491	Pyridoxal kinase
PROTEIN:492	Creatine kinase M-type
PROTEIN:493	Creatine kinase U-type, mitochondrial
PROTEIN:494	Creatine kinase B-type
PROTEIN:495	Creatine kinase S-type, mitochondrial
PROTEIN:496	Sodium- and chloride-dependent creatine transporter 1
PROTEIN:497	Guanidinoacetate N-methyltransferase
PROTEIN:498	Probable leucine--tRNA ligase, mitochondrial
PROTEIN:499	Leucine carboxyl methyltransferase 2
PROTEIN:500	Leucine carboxyl methyltransferase 1
PROTEIN:501	Leucine--tRNA ligase, cytoplasmic
PROTEIN:502	Tryptophan--tRNA ligase, cytoplasmic
PROTEIN:503	Tryptophan--tRNA ligase
PROTEIN:504	Tryptophan--tRNA ligase, mitochondrial
PROTEIN:505	Cysteine--tRNA ligase, cytoplasmic
PROTEIN:506	Methylated-DNA--protein-cysteine methyltransferase
PROTEIN:507	Probable cysteine--tRNA ligase, mitochondrial
PROTEIN:508	Cysteine dioxygenase type 1
PROTEIN:509	Thiamin pyrophosphokinase 1
PROTEIN:510	Voltage-dependent calcium channel
PROTEIN:511	Prostaglandin G/H synthase 2
PROTEIN:512	Prostaglandin G/H synthase 1
PROTEIN:513	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2
PROTEIN:514	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
PROTEIN:515	Nitric oxide synthase, brain
PROTEIN:516	Protein-arginine deiminase type-4
PROTEIN:517	Protein-arginine deiminase type-6
PROTEIN:518	Protein-arginine deiminase type-1
PROTEIN:519	Protein-arginine deiminase type-3
PROTEIN:520	Protein-arginine deiminase type-2
PROTEIN:521	Threonine--tRNA ligase, cytoplasmic
PROTEIN:522	Threonine--tRNA ligase, mitochondrial
PROTEIN:523	Beta-lactamase Toho-1
PROTEIN:524	UDP-glucose 6-dehydrogenase
PROTEIN:525	Alcohol dehydrogenase 1A
PROTEIN:526	Sorbitol dehydrogenase
PROTEIN:527	Alcohol dehydrogenase 4
PROTEIN:528	Alcohol dehydrogenase 1C
PROTEIN:529	Alcohol dehydrogenase 1B
PROTEIN:530	Alcohol dehydrogenase class 4 mu/sigma chain
PROTEIN:531	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
PROTEIN:532	L-lactate dehydrogenase A-like 6A
PROTEIN:533	Alcohol dehydrogenase class-3
PROTEIN:534	3-hydroxyacyl-CoA dehydrogenase type-2
PROTEIN:535	Malate dehydrogenase, mitochondrial
PROTEIN:536	L-lactate dehydrogenase A chain
PROTEIN:537	NAD-dependent malic enzyme, mitochondrial
PROTEIN:538	Peroxisomal multifunctional enzyme type 2
PROTEIN:539	L-lactate dehydrogenase A-like 6B
PROTEIN:540	L-lactate dehydrogenase C chain
PROTEIN:541	L-lactate dehydrogenase B chain
PROTEIN:542	Peroxisomal bifunctional enzyme
